TableName      TimeGenerated         BackendPoolName_s    BackendSettingName_s    ClientIP_s       Error_info_s                     Host_s                    HttpMethod_s    HttpStatus_d    RequestUri_s                                                                     ServerConnectTime_s    ServerHeaderTime_s    ServerResponseLatency_s    ServerRouted_s                ServerStatus_s    TimeTaken_d
-------------  --------------------  -------------------  ----------------------  ---------------  -------------------------------  ------------------------  --------------  --------------  -------------------------------------------------------------------------------  ---------------------  --------------------  -------------------------  ----------------------------  ----------------  -------------
PrimaryResult  2026-07-21T22:27:48Z  Back_WebSite         Backend_WebSite         181.228.109.178  ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/banner julio ar7-7-2026-9-36-24-PM7-31-2026-11-59-59-PM.jpg         0.000                  0.002                 0.002                      192.168.50.131:4430           200               0.331
PrimaryResult  2026-07-21T22:22:02Z  Back_WebSite         Backend_WebSite         201.176.65.107   ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/banner julio ar7-7-2026-9-36-24-PM7-31-2026-11-59-59-PM.jpg         0.000                  0.002                 0.003                      192.168.50.131:4430           200               0.163
PrimaryResult  2026-07-21T22:22:02Z  Back_WebSite         Backend_WebSite         201.176.65.107   ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             499             /public/Home/nuevobanner7-13-2026-6-42-22-PM7-31-2026-11-59-59-PM.jpg            0.000                  0.007                 0.022                      192.168.50.131:4430           200               0.163
PrimaryResult  2026-07-21T22:20:49Z  Back_WebSite         Backend_WebSite         181.238.30.110   ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/nuevobanner7-13-2026-6-42-22-PM7-31-2026-11-59-59-PM.jpg            0.000                  0.003                 0.012                      192.168.50.131:4430           200               0.67
PrimaryResult  2026-07-21T22:04:49Z  Back_WebSite         Backend_WebSite         186.157.165.32   ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             499             /public/Home/banner julio ar7-7-2026-9-36-24-PM7-31-2026-11-59-59-PM.jpg         0.000                  0.002                 0.002                      192.168.50.131:4430           200               0.173
PrimaryResult  2026-07-21T22:04:49Z  Back_WebSite         Backend_WebSite         186.157.165.32   ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/nuevobanner7-13-2026-6-42-22-PM7-31-2026-11-59-59-PM.jpg            0.000                  0.001                 0.001                      192.168.50.131:4430           200               0.173
PrimaryResult  2026-07-21T21:42:09Z  Back_WebSite         Backend_WebSite         191.102.250.107  ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/banner julio ar7-7-2026-9-36-24-PM7-31-2026-11-59-59-PM.jpg         0.000                  0.003                 0.006                      192.168.50.131:4430           200               21.44
PrimaryResult  2026-07-21T21:35:17Z  Back_WebSite         Backend_WebSite         181.104.119.244  ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/banner julio ar7-7-2026-9-36-24-PM7-31-2026-11-59-59-PM.jpg         0.000                  0.002                 0.004                      192.168.50.131:4430           200               0.096
PrimaryResult  2026-07-21T21:35:17Z  Back_WebSite         Backend_WebSite         181.104.119.244  ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /public/Home/nuevobanner7-13-2026-6-42-22-PM7-31-2026-11-59-59-PM.jpg            0.000                  0.002                 0.004                      192.168.50.131:4430           200               0.348
PrimaryResult  2026-07-21T21:30:25Z  Back_WebSite         Backend_WebSite         181.9.212.55     ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /Public/ImgProm/9407/9407_Card_638393887581588292.jpg                            0.000                  0.001                 0.001                      192.168.50.131:4430           200               1.039
PrimaryResult  2026-07-21T21:30:25Z  Back_WebSite         Backend_WebSite         181.9.212.55     ERRORINFO_CLIENT_CLOSED_REQUEST  gestion.clubgrido.com.ar  GET             200             /Public/ImgProm/9399/9399_Card_638393730321622406.jpg                            0.000                  0.001                 0.001                      192.168.50.131:4430           200               1.029
